stock_id,stock_name,market,industry,type
4566,時碩工業,上市,電機機械,汽機車零組件/傳產其他
4568,科際精密,上櫃,電機機械,機械
4571,鈞興-KY,上市,電機機械,機械
4572,駐龍,上市,電機機械,機械
4576,大銀微系統,上市,電機機械,機械
4577,達航科技,上櫃,其他電子業,印刷電路板相關/電腦系統業
4580,捷流閥業,上櫃,電機機械,機械
4581,光隆精密-KY,上市,汽車工業,汽機車零組件/車用金屬成型/電力
4583,台灣精銳,上市,電機機械,機械
4584,君帆,上櫃,電機機械,機械
4609,唐鋒,上櫃,電器電纜,家電
4702,中美實,上櫃,化學工業,化學工業/車輛整車/流通業
4706,大恭,上櫃,化學工業,化學工業
4707,磐亞,上櫃,化學工業,化學工業
4711,永純,上櫃,化學工業,化學工業
4712,南璋,上櫃,食品工業,機械/消費性電子產品/診斷與監測用醫材
4714,永捷,上櫃,化學工業,化學工業
4716,大立,上櫃,化學工業,化學工業
4720,德淵,上市,化學工業,化學工業
4721,美琪瑪,上櫃,化學工業,電池材料相關/化學工業
4722,國精化,上市,化學工業,化學工業
4726,永昕,上櫃,生技醫療業,醫藥產業
4728,雙美,上櫃,生技醫療業,時尚產業/輔助與彌補用醫材
4729,熒茂,上櫃,光電業,面板業
4735,豪展,上櫃,生技醫療業,其他醫療器材/診斷與監測用醫材
4736,泰博,上櫃,生技醫療業,體外診斷用醫材
4737,華廣,上市,生技醫療業,體外診斷用醫材
4739,康普,上市,化學工業,電池材料相關/電子化工材料/化學工業
4741,泓瀚,上櫃,化學工業,化學工業
4743,合一,上櫃,生技醫療業,醫藥產業
4744,皇將,上櫃,生技醫療業,機械
4745,合富-KY,上櫃,生技醫療業,醫療器材通路
4746,台耀,上市,生技醫療業,醫藥產業
4747,強生,上櫃,生技醫療業,醫藥產業
4754,國碳科,上櫃,化學工業,化學工業/傳產其他
4755,三福化,上市,化學工業,電子化工材料/化學工業
4760,勤凱,上櫃,其他電子業,被動元件/太陽能
4763,材料-KY,上市,化學工業,化纖原料
4764,雙鍵,上市,化學工業,化學工業
4766,南寶,上市,化學工業,化學工業
4767,誠泰科技,上櫃,化學工業,化學工業
4768,晶呈科技,上櫃,化學工業,化學工業
4770,上品,上市,化學工業,化學工業/傳產其他
4804,大略-KY,上櫃,觀光事業,服務業/旅館、餐飲
4806,昇華,上櫃,文化創意業,傳播事業
4807,日成-KY,上市,貿易百貨業,時尚產業
4903,聯光通,上櫃,通信網路業,光通訊
4904,遠傳,上市,通信網路業,通訊服務
4905,台聯電,上櫃,通信網路業,通訊設備/光通訊
4906,正文,上市,通信網路業,通訊設備
4907,富宇,上櫃,建材營造業,地產
4908,前鼎,上櫃,通信網路業,光通訊
4909,新復興,上櫃,通信網路業,印刷電路板相關
4911,德英,上櫃,生技醫療業,生物科技/醫藥產業
4912,聯德控股-KY,上市,電子零組件業,車用金屬成型/電子零件元件
4915,致伸,上市,電子零組件業,車用電子/電聲產品/週邊產品
4916,事欣科,上市,電腦及週邊設備業,航天軍工/遊戲產業/電腦系統業
4919,新唐,上市,半導體業,IC製造/IC設計
4923,力士,上櫃,半導體業,分離式元件
4924,欣厚-KY,上櫃,電腦及週邊設備業,電子零件元件/生物科技
4927,泰鼎-KY,上市,電子零組件業,印刷電路板相關
4930,燦星網,上市,電器電纜,家電
4931,新盛力,上櫃,電腦及週邊設備業,汽機車零組件/電力設備
4933,友輝,上櫃,光電業,面板零組件
4934,太極,上市,光電業,太陽能
4935,茂林-KY,上市,光電業,面板零組件/電子零件元件
4938,和碩,上市,電腦及週邊設備業,車用電子/通訊設備/手機/消費性電子產品/穿戴式裝置/遊戲產業/電腦系統業
4939,亞電,上櫃,電子零組件業,印刷電路板相關
4942,嘉彰,上市,光電業,電子零件元件
4943,康控-KY,上市,電子零組件業,汽機車零組件/電聲產品/控股公司
4944,兆遠,上櫃,光電業,LED
4945,陞達科技,上櫃,半導體業,IC設計/電子通路
4946,辣椒,上櫃,文化創意業,遊戲產業
4950,牧東,上櫃,其他業,家居用品
4951,精拓科,上櫃,半導體業,IC設計
4952,凌通,上市,半導體業,車用電子/電子零件元件/IC設計
4953,緯軟,上櫃,資訊服務業,軟體業/INTERNET技術與基礎設施
4956,光鋐,上市,光電業,LED
4958,臻鼎-KY,上市,電子零組件業,印刷電路板相關
4960,誠美材,上市,光電業,面板零組件
4961,天鈺,上市,半導體業,手機零組件/IC設計
4966,譜瑞-KY,上櫃,半導體業,傳輸介面/IC設計
4967,十銓,上市,半導體業,電子零件元件/週邊產品
4968,立積,上市,半導體業,射頻前端晶片
4971,IET-KY,上櫃,半導體業,IC製造
4972,湯石照明,上櫃,光電業,家電/LED
4973,廣穎,上櫃,半導體業,電子零件元件
4974,亞泰,上櫃,電子零組件業,數位相機
4976,佳凌,上市,光電業,數位相機
4977,眾達-KY,上市,通信網路業,光通訊
4979,華星光,上櫃,通信網路業,光通訊
4987,科誠,上櫃,電腦及週邊設備業,週邊產品
4989,榮科,上市,電子零組件業,印刷電路板相關
4991,環宇-KY,上櫃,半導體業,IC製造
4994,傳奇,上市,資訊服務業,遊戲產業
4995,晶達,上櫃,光電業,顯示器/面板業
